1486555242.dat<>【悲報】嫌儲民の「じゃ」予測変換、全員「ジャップ」説 [無断転載禁止]&#169;2ch.net	 [819818695] (982)
1486545836.dat<>【池永チャールズトーマス】被害者親「何の落ち度もない娘の命が奪われた犯罪で懲役22年は、被害者の立場を離れても軽すぎる」 [無断転載禁止]&#169;2ch.net	 [716259949] (62)
1486425299.dat<>一番最初にオナニーした時のネタや記憶が一生の性癖になるってマジ？おまえら覚えてるか？ [無断転載禁止]&#169;2ch.net	 [353336238] (518)
1486467986.dat<>お年寄りに席を譲らない若者が急増 [無断転載禁止]&#169;2ch.net	 [609535295] (336)
1486390493.dat<>すずめ観測所 [無断転載禁止]&#169;2ch.net	 [892297506] (65)
1486549793.dat<>エロDVDってPCに取り込めてオフライン環境でも再生できるから配信がメインになっても消えることはないよな [無断転載禁止]&#169;2ch.net	 [284894144] (11)
1486484350.dat<>妊婦さん「マタニティーマークみて20代女子2人がこれ席譲れって暗黙の脅し？とかいって笑いながら睨んできたけど…」 [無断転載禁止]&#169;2ch.net	 [899382504] (695)
1486549327.dat<>高橋一生って家だとニヤケ面で女を殴ってそうだよね、｢こんな不味い飯が食えるかぁ！｣っていきなりキレてゴミ箱に捨ててそう [無断転載禁止]&#169;2ch.net	 [875920232] (5)
1486512200.dat<>視聴率壊滅のフジテレビさん、ついにゴールデンで血液型番組をはじめる　ホンマでっかTV「効果的なダイエット法は血液型で違う」など [無断転載禁止]&#169;2ch.net	 [452836546] (90)
1486460443.dat<>調布ってとこに旅しようと思う。おすすめスポットとか見どころを教えろ [無断転載禁止]&#169;2ch.net	 [324014135] (83)
1486512913.dat<>【悲報】米国人の12%が日本は敵国だと答える　米世論調査 [無断転載禁止]&#169;2ch.net	 [535050937] (300)
1486473998.dat<>『世紀末オカルト学院』総合スレ [無断転載禁止]&#169;2ch.net	 [402581721] (99)
1486543281.dat<>影響力凄すぎ！『鉄腕DASH』に登場のネギカッターが注文殺到で売切 [無断転載禁止]&#169;2ch.net	 [148959167] (31)
1486373656.dat<>ビートたけし氏　「ネットはバカの拡声器」 [無断転載禁止]&#169;2ch.net	 [193727557] (766)
1486546428.dat<>和田アキ子「わたし、打たれ弱いので。」 [無断転載禁止]&#169;2ch.net	 [615019964] (12)
1486540113.dat<>( ヽ´ん`)｢煽る気はないが30歳で貯金500万円は少なすぎだろ｣←嫌儲でこういうレス見るとそいつへの虚しさしか無いよね [無断転載禁止]&#169;2ch.net	 [875920232] (37)
1486543610.dat<>いきものがかりに第1子誕生か　 [無断転載禁止]&#169;2ch.net	 [854042269] (8)
1486392126.dat<>クソ音痴OPと言えば「仮面ライダーBLACK」「Running to Horizon」「はいからさんが通る」なわけだが。 [無断転載禁止]&#169;2ch.net	 [793337701] (184)
1486542477.dat<>セックスレス鬼女に激震、99%の旦那は性欲を抑えきれず犯罪に走る [無断転載禁止]&#169;2ch.net	 [422186189] (8)
1486525848.dat<>初音ミクがあのスマホメーカーとコラボ　新型にミクさんカラーも [無断転載禁止]&#169;2ch.net	 [912282693] (33)
1486528496.dat<>農業を題材にしたアニメってありそうでないのんな… [無断転載禁止]&#169;2ch.net	 [533895477] (64)
1486432640.dat<>俺「ファミチキください」　周囲の客「ｸｽｸｽ」　店員「どうぞ」　周囲の客「えっ！？」　俺「ドヤァ」 [無断転載禁止]&#169;2ch.net	 [649717704] (296)
1486505389.dat<>死体が腐らない今の内に死んでおこうと思う 練炭自殺ってのがいいんだろ？ [無断転載禁止]&#169;2ch.net	 [907890933] (62)
1486463951.dat<>女の子のパンツのフロント部分によく付いてる小さなリボン総合スレ★1 [無断転載禁止]&#169;2ch.net	 [204160824] (99)
1486522424.dat<>合格印をもらうために誘惑教習所教官と騎乗位セックス(瑤子さん＝仮名・28歳) [無断転載禁止]&#169;2ch.net	 [591262568] (38)
1486514284.dat<>人気YouTuber「Maximilian」が配信中に1万ドルの寄付が入る [無断転載禁止]&#169;2ch.net	 [612013792] (84)
1486491505.dat<>ユニクロがブラのCMに佐々木希を起用。うおおお、これめっちゃシコれるやつですやん [無断転載禁止]&#169;2ch.net	 [169521961] (99)
1486515866.dat<>知人まんこと酒を飲んだだけの男性、勘違いされてまんこの元夫に滅多刺しにされて死亡。これがまんこに接した男の末路 [無断転載禁止]&#169;2ch.net	 [541299951] (31)
1486488674.dat<>死んだと思われていた土方歳三、アメリカ商船に乗せられ西部開拓時代へ [無断転載禁止]&#169;2ch.net	 [566475398] (32)
1486542670.dat<>【神ゲー】任天堂スイッチ、本格派体感型ホラーゲームを発表！【完全新作】 [無断転載禁止]&#169;2ch.net	 [475355623] (40)
1486549011.dat<>最近の声優ってほんとよくテレビ出るな。今テレ東に徳井青空出てんだぜ [無断転載禁止]&#169;2ch.net	 [303493227] (11)
1486546246.dat<>　　　　ブ　ル　ー　レ　イ　終　了　　　　君の名はのBDが売れてもＬＤすら超えられず頭打ち確定へ [無断転載禁止]&#169;2ch.net	 [834056582] (37)
1486477984.dat<>【速報】　「ファイナルファンタジー15」、発売初日で開発費を回収！　嫌儲の黒歴史がまた一つ増える [無断転載禁止]&#169;2ch.net	 [477330431] (95)
1486532193.dat<>【速報】　任天堂、キチガイじみたスイッチのCMを公開…　どうなってんだコレ… [無断転載禁止]&#169;2ch.net	 [477330431] (141)
1486523969.dat<>小泉竹中時代に格差が縮小し経済成長していたという不都合な真実。日本人は感情論が好き [無断転載禁止]&#169;2ch.net	 [807767748] (45)
1486560274.dat<>冷静に考えろ難民を助けず移民を排除する日本にトランプを批判する資格はない。猿は黙ってろ [無断転載禁止]&#169;2ch.net	 [699570371] (40)
1486459713.dat<>【朗報】　PS4「仁王」、神ゲーが確定　IGNで１００点満点中９６点の超高評価　黒澤明の遺稿を元にしたゲーム　それでは皆さんご一緒に [無断転載禁止]&#169;2ch.net	 [477330431] (306)
1486565847.dat<>【朗報】　外人「日本人のお笑いセンスすげぇぇええ！！」　PS4「仁王」先輩、留年をネタにされるも最高の仕上がりで卒業証書を受け取る [無断転載禁止]&#169;2ch.net	 [477330431] (26)
1486563910.dat<>【速報】　「ゼルダ 最新作」のプレイ動画が公開　無茶苦茶面白そう　流石GOTY候補 [無断転載禁止]&#169;2ch.net	 [477330431] (50)
1486425172.dat<>馬鹿「犬猫が可愛い価値観があるように犬猫が害獣という価値観もある テメーの価値観押し付けんなボケ」 [無断転載禁止]&#169;2ch.net	 [834056582] (217)
1486360522.dat<>ホンダN-BOXが今めちゃくちゃ売れてる。発売6年目にしてますます売れてしまう。もうこれ国民車だろ [無断転載禁止]&#169;2ch.net	 [169521961] (333)
1486549969.dat<>恵比寿中学のアイドル(18)が死んで次々とアイドルたちが便乗追悼し始める。AKB48小嶋陽菜｢死ぬ前から注目していました！｣ [無断転載禁止]&#169;2ch.net	 [875920232] (125)
1486527197.dat<>帰宅ラッシュ時の女性専用車両の様子がこちらｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ [無断転載禁止]&#169;2ch.net	 [388685895] (370)
1486556970.dat<>【悲報】安倍の食事シーンが汚いと話題にwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww [無断転載禁止]&#169;2ch.net	 [388685895] (136)
1486558256.dat<>進撃の巨人、主人公は全人類を滅ぼす破壊者だった… [無断転載禁止]&#169;2ch.net	 [388685895] (25)
1486561759.dat<>【悲報】ネットを炎上させただけで逮捕される時代に突入 [無断転載禁止]&#169;2ch.net	 [388685895] (9)
1486544023.dat<>プッチンプリンをプッチンするやつって馬鹿だろwwwwwwwwwwwwwwwwwwwwwwwwwwwwww→結果 [無断転載禁止]&#169;2ch.net	 [388685895] (46)
1486404157.dat<>中国人　「日本は終わりだ（笑）はやくソニーが崩壊するところを見たい」 [無断転載禁止]&#169;2ch.net	 [519424266] (120)
1486370389.dat<>異常な勢いで嫌儲にネトウヨが増殖してるけどなんなの？マジでうんざりしてるんだが [無断転載禁止]&#169;2ch.net	 [257270777] (398)
1486523217.dat<>辛坊治郎　「この26年で日本人は貧しくなりすぎた。俺達この26年いったい何してたの？」 [無断転載禁止]&#169;2ch.net	 [807767748] (123)
1486324195.dat<>辛坊治郎：この20年、俺達は何をやってきたの？日本は貧しくなりすぎた、、もう先進国とは言えない [無断転載禁止]&#169;2ch.net	 [601937685] (915)
1486477151.dat<>【悲報】　格闘ゲームの売上の９５％は海外　日本落ちぶれ杉なので、日本の売上のみで”爆死判定”はナンセンス [無断転載禁止]&#169;2ch.net	 [477330431] (30)
1486405994.dat<>小泉竹中時代に格差がむしろ縮小していたという事実。ケンモメンは感情論と思考停止をやめよう [無断転載禁止]&#169;2ch.net	 [519424266] (59)
1486522019.dat<>安倍「GPIFに私は指示できない！アメリカに投資はデマ！」そりゃ日銀も裁判所もGPIFも独立してるけどさ（笑） [無断転載禁止]&#169;2ch.net	 [807767748] (76)
1486461613.dat<>俺「助六買って来て」　俺「助六！！！！」　俺「誰か助六買ってこい！！！！（怒）」 [無断転載禁止]&#169;2ch.net	 [474547398] (150)
