1487052163.dat<>弁護士チンポ切断事件、懲役4年6カ月の実刑判決で被告人の控訴棄却 [無断転載禁止]&#169;2ch.net	 [892356801] (40)
1486991582.dat<>洋ドラ「ウエストワールド」の評判が嫌儲民から全く聞こえてこない　ゲームオブスローンズの名はバカみたいに連呼してたのに [無断転載禁止]&#169;2ch.net	 [539914983] (10)
1486887999.dat<>明石家さんまさん、君の名は。を見て爆笑　「ラストシーンの階段、ひょうきん族でよく使って階段やんファーｗｗｗｗｗ」 [無断転載禁止]&#169;2ch.net	 [373996372] (125)
1486950154.dat<>ジャップ｢発音！文法！英語はそれじゃあ伝わらない！w｣出川｢あーメニメニ、ニアーニアー！フェア？フェア？｣ [無断転載禁止]&#169;2ch.net	 [875920232] (112)
1486978815.dat<>マツコ・デラックス「本当は仕事したくない。でも『お前いらねーよデブ』って言われるまでは働く」 [無断転載禁止]&#169;2ch.net	 [275723402] (34)
1486986894.dat<>書籍全文検索サービス開始ｸﾙ━━━━(ﾟ∀ﾟ)━━━━!! [無断転載禁止]&#169;2ch.net	 [126042664] (8)
1486987761.dat<>無神論者「無神論が広がりすぎてヤバイ…キリスト教的価値観のない世界ってやばいよね？」 [無断転載禁止]&#169;2ch.net	 [919654381] (28)
1486986952.dat<>キャラデザ神ってるアニメって良いよね　はいふりとか糞つまんなかったけどファンブックは買ったもん！ [無断転載禁止]&#169;2ch.net	 [254871516] (18)
1486989972.dat<>石井紘基刺殺事件って何だったの？ [無断転載禁止]&#169;2ch.net	 [919654381] (73)
1487034889.dat<>安倍トランプ会談で分かった。日本人は劣等だ [無断転載禁止]&#169;2ch.net	 [919654381] (21)
1487036646.dat<>ませた少女「イケメンに抱かれたい」イケメン大学生「じゃあエッチしよっか？ｗ」ませた少女「うん！フェラしてあげる」警察「はい逮捕」 [無断転載禁止]&#169;2ch.net	 [834056582] (27)
1487041283.dat<>【小学時代】　逆上がりができない⇒だっさｗ　逆上がりができる⇒やるじゃん　空中逆上ができる⇒スゲー　大車輪ができる⇒天才！！ [無断転載禁止]&#169;2ch.net	 [834056582] (11)
1486815784.dat<>【朗報】　PS4「バイオハザード7」が300万本突破！　発売後の評価も良く、2週間で50万本を上乗せ！ [無断転載禁止]&#169;2ch.net	 [477330431] (126)
1487031389.dat<>世間「5万円でも文句言わず働けよ 甘えんなカス」　嫌儲民「お前が5万円で文句言わず働いたら働いてやるよ＾＾」 [無断転載禁止]&#169;2ch.net	 [834056582] (6)
1486986227.dat<>日本、昔から犬を食い犬を殺傷し犬を喧嘩させ楽しんでいた。日本の美しい犬虐待文化 [無断転載禁止]&#169;2ch.net	 [919654381] (41)
1486993829.dat<>【速報】　スマホゲームに課金してしまった馬鹿が１年間で９％居ると判明　 [無断転載禁止]&#169;2ch.net	 [477330431] (21)
1486967289.dat<>日本人の口が臭すぎる…外国人激怒 [無断転載禁止]&#169;2ch.net	 [919654381] (276)
1486991810.dat<>【速報】　PS4「仁王」、口コミで売れまくっている模様　まるで初代バイオハザードのような売れ方 [無断転載禁止]&#169;2ch.net	 [477330431] (22)
1487046569.dat<>最も貧しい人を国は助けるべき？　日本人「答えはNOだ」　世界一冷酷民族 [無断転載禁止]&#169;2ch.net	 [919654381] (32)
1486918499.dat<>【食糞民族】子供のウンコを干して丸めて生姜汁で飲んでた民族がいるらしい（笑） [無断転載禁止]&#169;2ch.net	 [919654381] (268)
1486881866.dat<>日本人はアホか？少子高齢化を放置すれば年金も医療も社会保障も財政も崩壊するんだが… [無断転載禁止]&#169;2ch.net	 [986315993] (81)
1486904909.dat<>上野千鶴子「日本人は純血主義だから移民を受け入れられず貧乏になるしかない」←俺と同意見でワロタｗ [無断転載禁止]&#169;2ch.net	 [919654381] (52)
1486807465.dat<>「日本が好き！」←こういうやつ100％キチガイ [無断転載禁止]&#169;2ch.net	 [986315993] (187)
1486874489.dat<>たかじんが在日だって知った時のネトウヨってやっぱり小便チビってダブルピースで現実逃避したの？ [無断転載禁止]&#169;2ch.net	 [986315993] (86)
1486883896.dat<>日本経済崩壊　世界中にバレてる件 [無断転載禁止]&#169;2ch.net	 [986315993] (141)
1486988363.dat<>日本人は遺伝的に挑戦できない。 [無断転載禁止]&#169;2ch.net	 [919654381] (30)
1487037141.dat<>日本好きとして知られるルペン前党首、人種差別発言で訴追。 [無断転載禁止]&#169;2ch.net	 [919654381] (49)
1486797743.dat<>嫌儲の必死チェッカー1位の奴が完全に狂人だと話題に [無断転載禁止]&#169;2ch.net	 [558494912] (368)
1487052171.dat<>人々はなぜジャガイモを高カロリーにしてしまうのか。フライドポテト、ハッシュドポテト、ポテトチップスetc. [無断転載禁止]&#169;2ch.net	 [252536665] (1)
1486989133.dat<>嫌儲の必死チェッカー1位のヤツがやばすぎる件。キチガイですわ… [無断転載禁止]&#169;2ch.net	 [919654381] (38)
1487049201.dat<>楽天三木谷「本社機能をシリコンバレーに移したい。」移民を受け入れない日本から会社は逃げ出す [無断転載禁止]&#169;2ch.net	 [919654381] (67)
1487036506.dat<>ジャップ、コンビニのエロ本を隠し始める。オリンピックで白人様に見られて土人だとバレると嫌だから [無断転載禁止]&#169;2ch.net	 [919654381] (87)
1487049409.dat<>医師｢モルヒネを大量に使うと全身麻酔と同じ状態になります しかし呼吸が止まって死にます 国はこれを中毒死と言って禁止しています」 [無断転載禁止]&#169;2ch.net	 [834056582] (22)
1486875524.dat<>日本は過去26年、何やってたの？もう先進国から転落しそうなんだが… [無断転載禁止]&#169;2ch.net	 [986315993] (181)
1486992532.dat<>【悲報】　「ストリートファイター」が最新作で遂に一人称視点へ　日本人切り捨てがブームに [無断転載禁止]&#169;2ch.net	 [477330431] (276)
1486957746.dat<>　　　“努力する者は希望を語り 怠ける者は不満を語る”　　　←これマジ？ [無断転載禁止]&#169;2ch.net	 [834056582] (126)
1487038077.dat<>日銀「調べてみたら日本人はアホだった。投資が増えないわけだ…」 [無断転載禁止]&#169;2ch.net	 [919654381] (411)
1487050371.dat<>ハーバード卒「日本人がシリコンバレーをつくる？そりゃ無理だ。日本人はレイシストすぎる」 [無断転載禁止]&#169;2ch.net	 [919654381] (49)
